Eliza is walking to Northampton,Noho,True,Amherst,False,False,Jane,0.0,1,0
Eliza is walking to Northampton,Amherst,False,Noho,True,False,Jane,0.125,1,0
Eliza is walking to Northampton,Noho,False,Amherst,True,False,Sarah,0.125,1,0
Eliza is walking to Northampton,Amherst,False,Amherst,True,False,Jane,0.125,1,0
Eliza is walking to Northampton,Noho,False,Amherst,True,False,Jane,0.125,1,0
Eliza is walking to Northampton,Amherst,False,Amherst,False,True,Jane,0.0,1,0
Eliza is walking to Northampton,Amherst,False,Noho,True,False,Sarah,0.125,1,0
Eliza is walking to Northampton,Amherst,True,Amherst,False,False,Jane,0.0,1,0
Eliza is walking to Northampton,Amherst,False,Noho,False,True,Sarah,0.0,1,0
Eliza is walking to Northampton,Noho,True,Amherst,False,False,Sarah,0.0,1,0
Eliza is walking to Northampton,Noho,False,Noho,True,False,Jane,0.125,1,0
Eliza is walking to Northampton,Amherst,False,Noho,False,True,Jane,0.0,1,0
Eliza is walking to Northampton,Noho,False,Noho,True,False,Sarah,0.125,1,0
Eliza is walking to Northampton,Amherst,False,Amherst,False,True,Sarah,0.0,1,0
Eliza is walking to Northampton,Amherst,True,Amherst,False,False,Sarah,0.0,1,0
Eliza is walking to Northampton,Amherst,False,Amherst,True,False,Sarah,0.125,1,0
Eliza is going to Northampton,Noho,True,Amherst,False,False,Jane,0.0,1,0
Eliza is going to Northampton,Amherst,False,Noho,True,False,Jane,0.25,1,0
Eliza is going to Northampton,Noho,False,Amherst,True,False,Sarah,0.25,1,0
Eliza is going to Northampton,Noho,False,Amherst,True,False,Jane,0.0,1,0
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Jane,0.0,1,0
Eliza is going to Northampton,Amherst,False,Noho,True,False,Sarah,0.0,1,0
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Jane,0.0,1,0
Eliza is going to Northampton,Amherst,False,Noho,False,True,Sarah,0.0,1,0
Eliza is going to Northampton,Noho,True,Amherst,False,False,Sarah,0.0,1,0
